ROUND,COURSE_FULL_NAME,HRS,PRICE,START_DATE,TIMES,PROG,TYPE,LEVEL,END_DATE,DAYS,COURSE_SHORT_NAME,COURSE_EMAIL_NAME,PROGRAMME_EMAIL,COURSE_BOOK,DEADLINE,LOCATION,ATTENDANCE_COURSE_NAME,CERTIFICATE_NAME,CERTIFICATE_LEVEL,LEVEL_SPEC,ONLINE_ONSITE,DISCOUNT-5pc,DISCOUNT-10pc,REGISTRATION_LINK,SCHEDULE_TYPE,SCHEDULE_NAME
1,B1 EVE ONLINE - EDMONTON - 13.01.2025 - R1,24 hours/6 weeks,385,1/13/2025,19:00-21:00,EDMONTON,EVE ONLINE,B1,2/19/2025,"M,W",B1 EVE ONLINE,B1 EVE ONLINE - 24 hours/6 weeks,B1 EDMONTON,English File Intermediate 4th Edition (ISBN-13978-0194035910),12/14/2024,ONLINE,B1_EVE _EDMON_1,B1 Intermediate English Course - 24 hours,B1,B1,online,365.75,346.5,https://mixtreelang.nl/free-english-level-check-enrolment/,EVENING ONLINE,B1 EVE ONLINE - 13.01.2025
1,B2 EVE ONLINE - EDMONTON - 13.01.2025 - R1,24 hours/6 weeks,385,1/13/2025,19:00-21:00,EDMONTON,EVE ONLINE,B2,2/19/2025,"M,W",B2 EVE ONLINE,B2 EVE ONLINE - 24 hours/6 weeks,B2 EDMONTON,English File Upper Intermediate 4th Edition (ISBN-978-0194039697),12/14/2024,ONLINE,B2_EVE _EDMON_1,B2 Upper Intermediate English Course - 24 hours,B2,B2,online,365.75,346.5,https://mixtreelang.nl/free-english-level-check-enrolment/,EVENING ONLINE,B2 EVE ONLINE - 13.01.2025 - R1
1,A1 BEGINNER - DUBLIN - 13.01.2025 - R1,24 hours/6 weeks,445,1/13/2025,15:30-17:30,DUBLIN,BEGINNER,A1,2/19/2025,"M,W",A1 BEGINNER,A1 BEGINNER - 24 hours/6 weeks,A1 DUBLIN,English File Beginner Student’s Book - 4th Edition (ISBN-13978-0194029803),12/14/2024,MixTree Languages - Eerste Weteringplantsoen 2c - 1017 SJ Amsterdam,A1_BEGI_DUBLI_1,A1 Beginners English Course - 24 hours,A1,A1,onsite,422.75,400.5,https://mixtreelang.nl/free-english-level-check-enrolment/,A1 BEGINNER,A1 BEGINNER (R1) starting 13.01.2025
1,A2 INTENSIVE - BOSTON - 13.01.2025 - R1,40 hours/4 weeks,640,1/13/2025,12:30-15:00,BOSTON,INTENSIVE,A2,2/7/2025,"M,T,Th,F",A2 INTENSIVE,A2 INTENSIVE - 40 hours/4 weeks,A2 BOSTON,English File Pre-Intermediate 4th Edition (ISBN-13 978-0194037419),12/14/2024,MixTree Languages - Eerste Weteringplantsoen 2c - 1017 SJ Amsterdam,A2_INTE_BOSTO_1,A2 Intensive English Course - 40 hours,A2,A2,onsite,608,576,https://mixtreelang.nl/free-english-level-check-enrolment/,A2 INTENSIVE,A2 INTENSIVE (R1) starting 13.01.2025
1,A2 ELEM MORNING - EDMONTON - 13.01.2025 - R1,30 hours/6 weeks,525,1/13/2025,9:30-12:00,EDMONTON,MORNING,A2 ELEM,2/19/2025,"M,W",A2 ELEM MORNING,A2 ELEM MORNING - 30 hours/6 weeks,A2 ELEM EDMONTON,English File Elementary 4th Edition (ISBN-13978-0194031592),12/14/2024,MixTree Languages - Eerste Weteringplantsoen 2c - 1017 SJ Amsterdam,A2 EL_MORN_EDMON_1,A2 Elementary English Course - 30 hours,A2,A2 ELEM,onsite,498.75,472.5,https://mixtreelang.nl/free-english-level-check-enrolment/,A2 ELEMENTARY,A2 ELEMENTARY (R1) starting 13.01.2025
1,B1 INTENSIVE - BOSTON - 13.01.2025 - R1,40 hours/4 weeks,640,1/13/2025,15:30-18:00,BOSTON,INTENSIVE,B1,2/7/2025,"M,T,Th,F",B1 INTENSIVE,B1 INTENSIVE - 40 hours/4 weeks,B1 BOSTON,English File Intermediate 4th Edition (ISBN-13978-0194035910),12/14/2024,MixTree Languages - Eerste Weteringplantsoen 2c - 1017 SJ Amsterdam,B1_INTE_BOSTO_1,B1 Intensive English Course - 40 hours,B1,B1,onsite,608,576,https://mixtreelang.nl/free-english-level-check-enrolment/,B1 INTENSIVE,B1 INTENSIVE (R1) starting 13.01.2025
1,B2 MORNING - EDMONTON - 13.01.2025 - R1,30 hours/6 weeks,525,1/13/2025,9:30-12:00,EDMONTON,MORNING,B2,2/20/2025,"M,Th",B2 MORNING,B2 MORNING - 30 hours/6 weeks,B2 EDMONTON,English File Upper Intermediate 4th Edition (ISBN-978-0194039697),12/14/2024,MixTree Languages - Eerste Weteringplantsoen 2c - 1017 SJ Amsterdam,B2_MORN_EDMON_1,B2 Upper Intermediate English Course - 30 hours,B2,B2,onsite,498.75,472.5,https://mixtreelang.nl/free-english-level-check-enrolment/,B2 MORNING,B2 MORNING (R1) starting 13.01.2025
1,C1 EVE ONLINE - EDMONTON - 14.01.2025 - R1,24 hours/6 weeks,385,1/14/2025,19:00-21:00,EDMONTON,EVE ONLINE,C1,2/20/2025,"T,Th",C1 EVE ONLINE,C1 EVE ONLINE - 24 hours/6 weeks,C1 EDMONTON,English File 4th: Advanced (ISBN-13978-0194038355),12/15/2024,ONLINE,C1_EVE _EDMON_1,C1 Advanced English Course - 24 hours,C1,C1,online,365.75,346.5,https://mixtreelang.nl/free-english-level-check-enrolment/,EVENING ONLINE,C1 EVE ONLINE - 14.01.2025 - R1
1,A2 PRE-INT MORNING - EDMONTON - 14.01.2025 - R1,30 hours/6weeks,525,1/14/2025,9:30-12:00,EDMONTON,MORNING,A2 PRE-INT,2/20/2025,"T,Th",A2 PRE-INT MORNING,A2 PRE-INT MORNING - 30 hours/6weeks,A2 PRE-INT EDMONTON,English File Pre-Intermediate 4th Edition (ISBN-13 978-0194037419),12/15/2024,MixTree Languages - Eerste Weteringplantsoen 2c - 1017 SJ Amsterdam,A2 PR_MORN_EDMON_1,A2 Pre-Intermediate English Course - 30 hours,A2,A2+ PRE-INT,onsite,498.75,472.5,https://mixtreelang.nl/free-english-level-check-enrolment/,A2 PRE-INTERMEDIARY,A2 PRE-INTERMEDIARY (R1) starting 14.01.2025
1,C1 MORNING - EDMONTON - 14.01.2025 - R1,30 hours/6weeks,525,1/14/2025,9:30-12:00,EDMONTON,MORNING,C1,2/21/2025,"T,F",C1 MORNING,C1 MORNING - 30 hours/6weeks,C1 EDMONTON,English File 4th: Advanced (ISBN-13978-0194038355),12/15/2024,MixTree Languages - Eerste Weteringplantsoen 2c - 1017 SJ Amsterdam,C1_MORN_EDMON_1,C1 Advanced English Course - 30 hours,C1,C1,onsite,498.75,472.5,https://mixtreelang.nl/free-english-level-check-enrolment/,C1 MORNING,C1 MORNING (R1) starting 14.01.2025
